Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2000-02-26 0:00:00,19,27.6,21.5,94,0,3.6,8,360,3,W
2000-02-27 0:00:00,20,25,21.7,92,6,0,9,360,3,N
2000-02-28 0:00:00,20,27.4,22.2,88,8888,4.8,10,360,4,N
2000-02-29 0:00:00,20,26.9,22.3,90,8888,0.2,19,360,8,N
2000-03-01 0:00:00,21,26.7,21.5,95,7,1,7,180,2,S
2000-03-02 0:00:00,20,26.2,22.1,88,12,4.1,8,270,2,W
2000-03-03 0:00:00,20,28.6,23.9,80,0,6.2,4,270,2,W
2000-03-04 0:00:00,19,27.9,22.4,87,0,5,5,180,1,N
2000-03-05 0:00:00,20,28.6,22.1,91,2,4,3,270,1,W
2000-03-06 0:00:00,20,29,23.3,88,2,4.8,3,180,0,S
2000-03-07 0:00:00,20,27.3,22.6,90,8,2.6,4,180,0,S
2000-03-08 0:00:00,20,28.1,22.7,92,3,4.6,4,180,2,S
2000-03-09 0:00:00,19,28.4,22.5,84,23,5.1,4,270,1,W
2000-03-10 0:00:00,18,28.3,20.9,93,0,4.2,4,270,0,W
2000-03-11 0:00:00,18,27.9,21.8,91,7,5.3,5,360,2,N
2000-03-12 0:00:00,19,27,21.5,93,0,2.8,6,360,2,N
2000-03-13 0:00:00,20,26.9,22.4,90,2,2.2,3,270,2,W
2000-03-14 0:00:00,20,26.9,20.7,95,34,0,8,360,2,N
2000-03-15 0:00:00,20,26.2,21.3,92,14,0.3,6,270,2,W
2000-03-16 0:00:00,20,26.4,22.3,88,3,0.9,4,270,1,W
2000-03-17 0:00:00,21,25.7,23.1,87,3,0,8,270,0,W
2000-03-18 0:00:00,20,26.7,23.5,90,0,2,3,180,3,S
2000-03-19 0:00:00,20,28.7,24.6,84,8888,3.8,3,180,1,S
2000-03-20 0:00:00,21,27.7,24.3,86,2,4.1,4,180,2,S
2000-03-21 0:00:00,20,28.1,22.5,88,46,2.4,4,360,0,N
2000-03-22 0:00:00,19,27.4,21.9,92,0,3.9,4,360,1,N
2000-03-23 0:00:00,19,25.8,22,94,4,3.2,3,360,2,N
2000-03-24 0:00:00,19,27.2,22.6,90,4,5.4,2,360,1,N
2000-03-25 0:00:00,18,27.7,22.2,88,3,4.8,3,360,0,N
2000-03-26 0:00:00,18,28.1,22.8,90,0,3.4,7,270,0,W
2000-03-27 0:00:00,19,27.1,22.5,91,3,3.2,3,360,0,N
2000-03-28 0:00:00,19,25.8,21.8,94,105,1.3,2,360,0,W
2000-03-29 0:00:00,19,26.8,22,95,33,4,3,360,0,E
2000-03-30 0:00:00,19,27.6,22.5,93,3,3.7,3,360,0,N
2000-03-31 0:00:00,19,25.9,21.6,92,10,3.7,8,180,0,S
2000-04-01 0:00:00,19,26,22.1,90,1,2,3,270,1,S
2000-04-02 0:00:00,19,27,22.7,89,48,5,4,360,2,N
2000-04-03 0:00:00,20,28,21.5,95,0,0,3,270,0,S
2000-04-04 0:00:00,20,23.8,21.9,90,28,0,3,270,0,W
2000-04-05 0:00:00,20,26.5,22.9,88,4,3.2,3,270,1,W
2000-04-06 0:00:00,20,28.2,23.2,88,8888,5.1,4,270,1,N
2000-04-07 0:00:00,19,27.2,22,92,1,4.6,4,180,0,S
2000-04-08 0:00:00,20,26.6,22.4,93,29,3,5,180,0,S
2000-04-09 0:00:00,18,26.4,22.2,92,8,1.4,2,270,0,W
2000-04-10 0:00:00,19,27.7,21.8,93,4,1.3,2,180,0,S
2000-04-11 0:00:00,18,28.4,22.5,92,14,8,4,360,1,N
2000-04-12 0:00:00,19,27.3,22,95,0,4.4,3,360,1,N
2000-04-13 0:00:00,21,26.4,22.6,92,9,0.7,3,360,0,N
2000-04-14 0:00:00,21,25.1,22.2,93,109,0.2,2,270,1,W
2000-04-15 0:00:00,21,27.3,21.9,90,6,0,3,180,1,S
2000-04-16 0:00:00,20,26.4,21.2,95,1,1.3,3,180,0,S
2000-04-17 0:00:00,19,28.5,22.7,90,57,5.7,4,90,1,E
2000-04-18 0:00:00,20,26.4,22.5,93,4,3.2,3,270,0,W
2000-04-19 0:00:00,20,26.2,22.2,82,38,0,1,180,0,S
2000-04-20 0:00:00,19,27.1,22.1,94,8888,0,2,180,0,S
2000-04-21 0:00:00,19,27.4,23.1,86,8888,4.9,7,360,2,N
2000-04-22 0:00:00,19,28.7,23.2,87,2,7.4,4,360,1,N
2000-04-23 0:00:00,18,27.4,21.9,94,0,4,4,360,0,N
2000-04-24 0:00:00,19,26,21.7,95,4,2.3,2,360,0,N
2000-04-25 0:00:00,20,28.9,21.4,98,55,6.9,3,180,0,S
2000-04-26 0:00:00,19,28.8,22.4,93,4,4.1,2,360,0,N
2000-04-27 0:00:00,19,28.2,22.7,90,4,7.4,5,360,2,N
2000-04-28 0:00:00,20,27.6,22.3,90,5,3.9,5,360,2,N
2000-04-29 0:00:00,20,26.7,22.6,90,3,0,2,270,0,W
2000-04-30 0:00:00,20,28.7,22.3,90,2,2.5,2,180,0,S
2000-05-01 0:00:00,19,28.7,23.1,90,21,2.2,4,270,1,W
2000-05-02 0:00:00,18,28.6,22.1,84,0,2.9,4,360,1,N
2000-05-03 0:00:00,19,27.5,21.5,95,0,1,2,180,0,S
2000-05-04 0:00:00,19,27.2,22.6,89,24,2.8,3,180,0,N
2000-05-05 0:00:00,19,28.3,22.8,90,3,7.1,4,360,1,N
2000-05-06 0:00:00,19,28.4,23.8,85,0,4,3,270,0,W
2000-05-07 0:00:00,21,27.4,24,82,8,1,4,270,1,W
2000-05-08 0:00:00,20,29.6,23.8,83,0,5,3,270,1,W
2000-05-09 0:00:00,20,29.8,24.4,85,1,7.7,4,270,2,N
2000-05-10 0:00:00,21,27.8,24,88,2,4.7,3,180,0,W
2000-05-11 0:00:00,21,28.6,23.6,91,2,2.6,3,360,0,N
2000-05-12 0:00:00,19,28.6,22.6,92,0,4,2,360,0,N
2000-05-13 0:00:00,19,29.9,23.6,87,3,4.3,3,360,1,S
2000-05-14 0:00:00,17,29.9,22.8,89,0,5.5,3,180,0,SE
2000-05-15 0:00:00,19,28.1,23.8,88,0,4.8,2,180,1,S
2000-05-16 0:00:00,21,28.6,23.7,88,2,7.1,3,180,1,S
2000-05-17 0:00:00,20,28.6,23.4,90,0,7.1,3,180,2,N
2000-05-18 0:00:00,20,28.6,23.4,89,0,5.6,3,180,1,S
2000-05-19 0:00:00,19,29,24.2,88,3,6.2,2,180,0,S
2000-05-20 0:00:00,19,29.2,23,88,0,5.8,4,180,1,S
2000-05-21 0:00:00,19,28.6,22,93,17,4.7,3,180,1,S
2000-05-22 0:00:00,20,28.2,23,94,15,1.8,3,180,0,E
2000-05-23 0:00:00,19,28.9,22.8,90,3,5.4,3,360,0,N
2000-05-24 0:00:00,20,27.4,23,88,8888,0.7,3,360,1,S
2000-05-25 0:00:00,21,26.7,23.5,86,7,0.8,3,270,0,W
2000-05-26 0:00:00,18,26.7,22.7,90,3,2.1,4,270,2,W
2000-05-27 0:00:00,20,27.6,22.7,87,1,2.5,5,270,2,W
2000-05-28 0:00:00,19,26,21.9,90,0,0,3,270,0,W
2000-05-29 0:00:00,20,27.1,22.4,92,8,2.4,2,360,0,N
2000-05-30 0:00:00,18,27.6,22.3,93,107,6,3,360,1,N
2000-05-31 0:00:00,20,27.1,23,88,3,3.4,2,360,0,W
2000-06-01 0:00:00,18,27.6,21.1,88,0,3.4,3,360,0,E
2000-06-02 0:00:00,19,25.4,22.2,94,27,0.9,3,180,1,S
2000-06-03 0:00:00,20,26,23.1,90,0,4.7,4,270,2,S
2000-06-04 0:00:00,19,27.6,22.1,92,2,1.7,2,270,0,SW
2000-06-05 0:00:00,19,25.8,22.4,96,24,,2,360,0,N
2000-06-06 0:00:00,19,27.5,22.5,90,10,,2,180,0,S
2000-06-07 0:00:00,19,26,23.3,88,6,0.1,2,180,0,S
2000-06-08 0:00:00,18,27.8,23.7,88,8,7.4,3,90,0,N
2000-06-09 0:00:00,18,27.8,23.1,90,0,6.2,4,360,0,N
2000-06-10 0:00:00,20,25.7,21.8,94,3,0.4,2,360,0,N
2000-06-11 0:00:00,19,26.8,21.1,96,5,0.3,2,360,0,N
2000-06-12 0:00:00,19,26.3,22.9,88,15,2.7,3,180,1,S
2000-06-13 0:00:00,18,26.4,22.3,97,7,0.4,2,180,0,S
2000-06-14 0:00:00,18,27,23.5,90,46,1.4,2,180,0,N
2000-06-15 0:00:00,19,27,21.2,97,8,4.1,3,180,0,NW
2000-06-16 0:00:00,19,26.2,22,89,14,3.9,4,180,1,SE
2000-06-17 0:00:00,19,24,21.4,96,4,,1,180,0,S
2000-06-18 0:00:00,20,26.6,21.9,95,71,,2,360,0,N
2000-06-19 0:00:00,18,26.8,21.4,94,16,0.5,2,360,0,N
2000-06-20 0:00:00,18,26.3,21.7,92,4,,2,360,0,NW
2000-06-21 0:00:00,19,26.2,22.2,91,8,2.7,3,360,0,N
2000-06-22 0:00:00,19,26.2,21.2,96,44,,4,360,0,N
2000-06-23 0:00:00,20,25,20.8,94,15,,3,270,1,W
2000-06-24 0:00:00,19,25.7,21.9,94,2,1,3,360,1,N
2000-06-25 0:00:00,19,25.5,21.3,94,2,0.2,3,270,1,W
2000-06-26 0:00:00,20,25.7,21.4,90,0,0.4,2,360,0,N
2000-06-27 0:00:00,20,26.4,22.5,88,4,2.6,5,360,1,W
2000-06-28 0:00:00,19,26.3,20.4,96,99,2.5,5,315,2,NW
2000-06-29 0:00:00,20,25.4,21.9,90,7,1.9,6,180,3,S
2000-06-30 0:00:00,19,27,22.9,88,0,7.6,3,180,1,S
2000-07-01 0:00:00,17,27,22.9,88,0,5.5,4,180,2,S
2000-07-02 0:00:00,19,27.2,22.1,89,0,6,4,180,1,S
2000-07-03 0:00:00,20,26.5,23,91,2,3.2,4,180,1,S
2000-07-04 0:00:00,20,27,23.3,88,4,2.7,5,180,1,S
2000-07-05 0:00:00,20,27,23.3,92,1,3.4,3,180,0,S
2000-07-06 0:00:00,20,27,23,90,3,4,3,180,0,S
2000-07-07 0:00:00,20,27,21.9,93,5,0,4,270,1,W
2000-07-08 0:00:00,20,27,23.3,90,0,1.4,4,270,2,W
2000-07-09 0:00:00,19,27,22.5,92,2,3.7,5,180,2,S
2000-07-10 0:00:00,21,27.6,23.2,88,1,4.8,4,180,2,S
2000-07-11 0:00:00,18,27.7,22,91,1,5.4,3,180,1,S
2000-07-12 0:00:00,18,27.7,21.5,91,0,3.4,4,180,1,S
2000-07-13 0:00:00,17,27,22,90,6,5.4,9,270,4,W
2000-07-14 0:00:00,24,27.8,22,81,0,4.8,8,180,3,S
2000-07-15 0:00:00,19,26.7,21.9,86,0,5.1,8,180,5,S
2000-07-16 0:00:00,20,26.3,22.7,88,0,6.9,10,180,4,S
2000-07-17 0:00:00,20,26.8,23.1,88,0,6.4,7,180,3,S
2000-07-18 0:00:00,20,27.2,23.4,88,0,8,8,180,5,S
2000-07-19 0:00:00,19,27,23.4,87,0,5.1,12,180,4,S
2000-07-20 0:00:00,21,27.2,22.4,89,0,5.4,12,180,7,S
2000-07-21 0:00:00,20,27.4,22.7,84,8888,7.3,3,180,2,S
2000-07-22 0:00:00,18,27,21.8,87,0,7.3,3,180,2,S
2000-07-23 0:00:00,17,27.6,21.9,83,0,8,5,180,2,S
2000-07-24 0:00:00,19,26.9,22.4,82,0,8,5,180,2,S
2000-07-25 0:00:00,19,27.1,22.5,87,0,1.8,3,180,0,S
2000-07-26 0:00:00,19,28.7,22.9,88,1,7.5,4,180,1,S
2000-07-27 0:00:00,18,27,21.6,88,0,4.5,4,180,0,S
2000-07-28 0:00:00,18,25.8,21.4,91,0,0.2,3,180,0,S
2000-07-29 0:00:00,19,26.7,22,89,2,5.5,4,180,2,S
2000-07-30 0:00:00,20,27.6,22.8,87,8888,6.9,5,180,1,S
2000-07-31 0:00:00,20,26.6,23.2,85,0,7.8,5,180,2,S
2000-08-01 0:00:00,21,26.8,22.9,88,8888,4.3,4,180,1,S
2000-08-02 0:00:00,20,27.2,23,86,5,1,3,180,0,S
2000-08-03 0:00:00,20,26.2,21.7,92,8888,2.3,3,180,0,S
2000-08-04 0:00:00,19,27.2,21.7,88,105,0,3,180,1,S
2000-08-05 0:00:00,18,27.1,21.5,92,2,3.4,2,360,0,N
2000-08-06 0:00:00,18,27.9,22,86,8888,8,4,180,2,S
2000-08-07 0:00:00,18,27.9,22.7,86,0,5.3,3,180,0,S
2000-08-08 0:00:00,18,26,22.4,90,8888,5.8,3,180,1,S
2000-08-09 0:00:00,20,26.4,22.6,88,4,0.9,4,180,1,S
2000-08-10 0:00:00,20,27.2,22.6,90,1,4.1,8,180,4,S
2000-08-11 0:00:00,21,25.6,22.2,88,28,2.3,10,180,8,S
2000-08-12 0:00:00,21,26.8,22.7,83,8888,5.5,7,180,4,S
2000-08-13 0:00:00,20,22,20.6,95,11,0,2,180,0,S
2000-08-14 0:00:00,19,25.5,20.7,94,12,0,2,180,0,S
2000-08-15 0:00:00,19,24.7,21.7,92,7,0.2,3,180,0,S
2000-08-16 0:00:00,19,26,22.3,84,3,2.5,4,180,2,S
2000-08-17 0:00:00,20,25.7,22,88,206,3.7,6,180,2,S
2000-08-18 0:00:00,20,26.8,22.3,82,8888,4.9,5,180,2,S
2000-08-19 0:00:00,18,27.2,21.2,84,8888,6.7,8,180,3,S
2000-08-20 0:00:00,18,26.4,22.6,86,0,6.7,9,180,6,S
2000-08-21 0:00:00,18,26.5,22.8,78,0,6.6,8,180,6,S
2000-08-22 0:00:00,18,28.2,23.5,80,0,6.6,4,180,1,S
2000-08-23 0:00:00,19,29.1,23.1,82,0,3.4,3,180,1,S
2000-08-24 0:00:00,20,28.6,22.4,81,2,3.4,3,360,0,N
2000-08-25 0:00:00,20,30.7,24.9,77,0,7.4,6,270,2,W
2000-08-26 0:00:00,20,29.6,23.4,85,3,4.4,4,360,2,N
2000-08-27 0:00:00,20,26.4,23.5,80,0,5.4,7,180,3,S
2000-08-28 0:00:00,20,27.8,23.7,83,1,5.8,8,180,2,S
2000-08-29 0:00:00,16,28.6,22.4,87,0,7.4,5,225,1,SW
2000-08-30 0:00:00,20,27.4,23.4,82,9,8,4,180,1,S
2000-08-31 0:00:00,16,29.4,21.7,85,0,8,4,225,2,SW
2000-09-01 0:00:00,16,30,22.9,77,0,6.3,3,180,1,S
2000-09-02 0:00:00,17,29.9,22.4,82,0,5.8,3,360,1,N
2000-09-03 0:00:00,18,29.8,22.4,85,0,6.9,7,180,4,S
2000-09-04 0:00:00,21,27.8,24,70,0,7.8,7,180,3,S
2000-09-05 0:00:00,18,29.8,23.7,83,0,4.8,4,180,1,S
2000-09-06 0:00:00,20,28.5,22.3,90,0,2.2,4,180,2,S
2000-09-07 0:00:00,18,29.6,23.2,80,4,7.4,4,180,1,S
2000-09-08 0:00:00,18,29.6,22.7,84,0,7.5,4,180,2,S
2000-09-09 0:00:00,21,29.2,23.5,82,0,5.5,5,180,2,S
2000-09-10 0:00:00,20,28.1,23.2,81,0,7.6,5,180,2,S
2000-09-11 0:00:00,18,29,23.6,81,0,8,5,180,3,S
2000-09-12 0:00:00,18,27.8,23.7,81,0,7.4,10,180,4,S
2000-09-13 0:00:00,22,27.7,23.3,85,0,0,5,180,2,S
2000-09-14 0:00:00,19,28.5,22.6,85,4,5.8,6,180,1,S
2000-09-15 0:00:00,20,28.6,22.8,86,0,7.8,5,180,3,S
2000-09-16 0:00:00,19,27.7,23.4,86,8888,5.2,4,180,2,S
2000-09-17 0:00:00,20,28.8,24,84,1,5.2,3,180,1,S
2000-09-18 0:00:00,18,27.8,22.1,91,0,1.9,4,180,1,S
2000-09-19 0:00:00,19,27.8,21.6,96,42,3,8,180,1,S
2000-09-20 0:00:00,20,25.4,22.7,89,4,0,5,180,2,S
2000-09-21 0:00:00,20,26.2,23.7,89,2,3.2,6,180,2,S
2000-09-22 0:00:00,18,27.8,22.7,85,2,6.2,3,180,1,S
2000-09-23 0:00:00,20,28.8,23.3,86,1,6.5,3,180,1,S
2000-09-24 0:00:00,20,27.8,23.1,87,4,6.2,3,360,1,N
2000-09-25 0:00:00,20,28.2,23.4,84,2,6.3,3,180,2,S
2000-09-26 0:00:00,19,26.1,22.8,90,0,1.5,2,180,0,S
2000-09-27 0:00:00,18,28.4,22.1,86,13,3.2,3,180,1,S
2000-09-28 0:00:00,18,27.4,21.7,89,2,0.8,4,135,1,SE
2000-09-29 0:00:00,18,27.8,24,80,7,7.9,4,180,2,S
2000-09-30 0:00:00,19,27.4,22.8,89,4,2.1,3,180,2,S
2000-10-01 0:00:00,19,25.9,22.1,92,2,0.9,3,360,1,N
2000-10-02 0:00:00,18,28,22.4,90,4,4.3,3,360,1,N
2000-10-03 0:00:00,18,28,22.2,93,0,3.2,4,360,0,N
2000-10-04 0:00:00,20,26.6,22.3,88,48,2.1,2,180,0,S
2000-10-05 0:00:00,20,27.2,22.3,92,5,2.1,4,270,1,W
2000-10-06 0:00:00,20,24.8,21.6,93,14,0.3,2,360,0,N
2000-10-07 0:00:00,20,26.7,22.3,92,2,3.3,4,360,2,N
2000-10-08 0:00:00,20,26.6,21.3,84,5,0,6,360,2,NW
2000-10-09 0:00:00,19,27,22.2,87,7,2.5,8,180,1,S
2000-10-10 0:00:00,20,27.7,22.5,90,2,3.8,3,180,1,NE
2000-10-11 0:00:00,20,27.4,23.6,87,3,0.2,3,180,0,S
2000-10-12 0:00:00,21,28.4,23.5,86,0,5,7,360,2,N
2000-10-13 0:00:00,21,26.6,23.5,86,8888,0.2,4,270,1,N
2000-10-14 0:00:00,19,28.9,24,88,0,6.9,5,180,2,S
2000-10-15 0:00:00,19,29,23.5,80,0,6.2,5,180,2,S
2000-10-16 0:00:00,18,26.8,22.7,90,0,4.1,3,180,1,S
2000-10-17 0:00:00,19,29,23.7,88,4,5.4,5,180,2,S
2000-10-18 0:00:00,20,27.4,21.7,94,28,3.8,3,360,0,N
2000-10-19 0:00:00,21,28.4,23.2,90,13,6.7,10,270,2,NW
2000-10-20 0:00:00,20,28.2,23.3,85,0,6.6,13,180,6,N
2000-10-21 0:00:00,21,27.4,23,88,15,5.1,10,315,4,W
2000-10-22 0:00:00,21,26.6,22.7,87,32,5,13,270,5,W
2000-10-23 0:00:00,21,24.7,22.2,91,13,0,10,270,3,W
2000-10-24 0:00:00,21,26.3,23.5,90,5,0,4,270,1,W
2000-10-25 0:00:00,20,28.6,21.7,94,3,5.5,5,270,2,S
2000-10-26 0:00:00,21,23,22,87,29,0,10,270,4,N
2000-10-27 0:00:00,20,27.6,24.2,78,0,7.5,10,180,4,S
2000-10-28 0:00:00,21,28.2,24.1,87,0,5.3,6,270,3,W
2000-10-29 0:00:00,19,29,23.5,85,0,4.1,4,180,0,W
2000-10-30 0:00:00,18,29.4,22.8,86,0,4.4,3,360,0,N
2000-10-31 0:00:00,18,29.4,22.2,90,8888,3.9,13,360,0,N
2000-11-01 0:00:00,20,27.8,22,92,1,1,8,180,2,S
2000-11-02 0:00:00,20,31.2,22.9,93,4,1,3,360,0,N
2000-11-03 0:00:00,19,29.5,23.5,87,5,7.9,8,360,2,N
2000-11-04 0:00:00,20,27.9,22.7,91,8888,1.5,6,180,1,S
2000-11-05 0:00:00,20,27.8,22.2,92,12,0,2,180,0,S
2000-11-06 0:00:00,20,27,22.1,93,12,0,2,180,0,S
2000-11-07 0:00:00,19,28.4,22.1,91,8,4.7,2,180,0,S
2000-11-08 0:00:00,19,27,20.8,96,22,1.3,3,360,0,N
2000-11-09 0:00:00,18,27.3,21.4,93,42,4.2,3,180,0,S
2000-11-10 0:00:00,18,26.9,21,96,23,2.6,3,360,0,N
2000-11-11 0:00:00,18,27.2,21.7,93,5,2.2,2,180,0,S
2000-11-12 0:00:00,19,28.4,21.6,90,2,4.5,3,180,0,S
2000-11-13 0:00:00,18,28.4,22.6,92,16,4.4,2,180,0,S
2000-11-14 0:00:00,18,28.6,22.4,91,2,4.4,2,90,0,E
2000-11-15 0:00:00,18,28.3,23,90,2,6.2,9,360,2,N
2000-11-16 0:00:00,19,27.5,22.8,93,1,3.5,6,180,1,S
2000-11-17 0:00:00,19,28.4,23.1,88,1,2.8,5,180,1,S
2000-11-18 0:00:00,19,27,22.2,90,8888,1.4,4,180,0,S
2000-11-19 0:00:00,19,27.5,21.8,94,72,3.7,2,360,0,N
2000-11-20 0:00:00,19,26.5,21.6,96,8888,2.1,3,360,0,N
2000-11-21 0:00:00,19,26.8,22.4,94,21,0,4,360,0,N
2000-11-22 0:00:00,20,26,22.4,92,8,2.1,4,360,1,N
2000-11-23 0:00:00,21,27.4,22.8,88,0,4.4,5,360,1,S
2000-11-24 0:00:00,21,26.7,22,94,1,1.3,4,180,1,S
2000-11-25 0:00:00,21,26.5,22.4,88,55,0.7,8,270,3,W
2000-11-26 0:00:00,21,26.5,23.3,86,2,1.8,5,270,2,S
2000-11-27 0:00:00,19,27.2,23.3,85,4,6.3,5,270,2,W
2000-11-28 0:00:00,19,27.6,23.8,88,3,3.2,8,270,4,W
2000-11-29 0:00:00,19,24.8,23.2,86,3,0,8,270,3,W
2000-11-30 0:00:00,17,26.4,23.5,88,14,0,8,270,3,W
2000-12-01 0:00:00,19,26.6,23.4,89,42,1.1,10,270,6,W
2000-12-02 0:00:00,18,27,24,83,9,1.4,10,270,5,W
2000-12-03 0:00:00,21,26.4,24.2,82,8,,21,270,12,W
2000-12-04 0:00:00,21,25.8,24,80,8,2.7,14,270,7,W
2000-12-05 0:00:00,22,26,24.1,79,0,4.3,12,270,4,W
2000-12-06 0:00:00,19,27.6,24.2,82,8888,4.9,10,360,6,N
2000-12-07 0:00:00,22,26,22.4,90,5,0.8,18,270,7,W
2000-12-08 0:00:00,22,26.4,23.6,85,104,2.8,8,270,4,W
2000-12-09 0:00:00,21,28,24.2,85,3,5.2,5,270,2,W
2000-12-10 0:00:00,18,28.7,23,92,0,7.8,4,270,1,W
2000-12-11 0:00:00,19,28.6,23.5,88,0,5.7,4,270,2,W
2000-12-12 0:00:00,19,28,21.8,92,0,1.4,3,270,1,W
2000-12-13 0:00:00,19,27.8,23.4,86,12,7.2,3,360,1,N
2000-12-14 0:00:00,19,27.4,22.4,90,0,5.6,4,360,2,N
2000-12-15 0:00:00,19,25.8,22.6,91,0,3.5,3,270,2,W
2000-12-16 0:00:00,20,26.4,22.8,91,0,0.7,4,270,1,W
2000-12-17 0:00:00,21,27.4,22.7,92,4,2.3,5,270,2,W
2000-12-18 0:00:00,18,25.6,23,91,0,1.3,3,360,2,N
2000-12-19 0:00:00,20,26.3,23,91,3,1,3,360,1,W
2000-12-20 0:00:00,20,27.8,23.3,89,3,3,8,360,2,N
2000-12-21 0:00:00,20,27.6,22.1,93,0,3.1,4,270,1,W
2000-12-22 0:00:00,20,27.2,22.8,92,19,0.3,3,360,1,N
2000-12-23 0:00:00,20,29,22.8,91,0,2.2,5,270,1,W
2000-12-24 0:00:00,20,27.4,22.8,91,53,,3,360,0,N
2000-12-25 0:00:00,20,27.4,22.2,89,4,3.4,5,360,2,N
2000-12-26 0:00:00,21,25,24,86,26,,6,270,3,W
2000-12-27 0:00:00,21,25.5,22,90,1,,15,270,5,W
2000-12-28 0:00:00,20,26,22.9,88,7,,10,270,4,W
2000-12-29 0:00:00,22,25.3,22.3,92,7,1.4,7,270,3,W
